month,day,hour,minute,노출(분),상품코드,상품명,판매단가, 취급액 ,요일,상품군,마더코드,pay_type
1,1,6,0,20,201072,테이트 남성 셀린니트3종,39900,2099000,1,의류,100346,0
1,1,6,0,20,201079,테이트 여성 셀린니트3종,39900,4371000,1,의류,100346,0
1,1,6,20,20,201072,테이트 남성 셀린니트3종,39900,3262000,1,의류,100346,0
1,1,6,20,20,201079,테이트 여성 셀린니트3종,39900,6955000,1,의류,100346,0
1,1,6,40,20,201072,테이트 남성 셀린니트3종,39900,6672000,1,의류,100346,0
1,1,6,40,20,201079,테이트 여성 셀린니트3종,39900,9337000,1,의류,100346,0
1,1,7,0,20,200974,오모떼 레이스 파운데이션 브라,59000,6819000,1,속옷,100305,0
1,1,7,20,20,200974,오모떼 레이스 파운데이션 브라,59000,15689000,1,속옷,100305,0
1,1,7,40,20,200974,오모떼 레이스 파운데이션 브라,59000,25370000,1,속옷,100305,0
1,1,8,0,20,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,59900,16133000,1,의류,100808,0
1,1,8,20,20,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,59900,30061000,1,의류,100808,0
1,1,8,40,20,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,59900,53542000,1,의류,100808,0
1,1,9,0,20,202404,보코 리버시블 무스탕,79000,16075000,1,의류,100816,0
1,1,9,20,20,202404,보코 리버시블 무스탕,79000,25628000,1,의류,100816,0
1,1,9,40,20,202404,보코 리버시블 무스탕,79000,49270000,1,의류,100816,0
1,1,10,0,20,202395,CERINI by PAT 남성 풀패키지 기모니트 3종,79900,48799000,1,의류,100809,0
1,1,10,20,20,202395,CERINI by PAT 남성 풀패키지 기모니트 3종,79900,97907000,1,의류,100809,0
1,1,10,40,20,202395,CERINI by PAT 남성 풀패키지 기모니트 3종,79900,112972000,1,의류,100809,0
1,1,11,0,20,201999,크로커다일 The 편안한 코튼 브라팬티 4세트,69900,24531000,1,속옷,100664,0
1,1,11,20,20,201999,크로커다일 The 편안한 코튼 브라팬티 4세트,69900,49829000,1,속옷,100664,0
1,1,12,0,20,200236,에코라믹 통주물 스톤 냄비세트,60900,33823000,1,주방,100088,0
1,1,12,20,20,200236,에코라믹 통주물 스톤 냄비세트,60900,59083000,1,주방,100088,0
1,1,12,40,20,200236,에코라믹 통주물 스톤 냄비세트,60900,99235000,1,주방,100088,0
1,1,13,0,30,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,109000,32273000,1,속옷,100305,0
1,1,13,30,30,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,109000,79273000,1,속옷,100305,0
1,1,14,0,30,201220,그렉노먼 남성 구스다운 롱 벤치코트,119000,11269000,1,의류,100377,0
1,1,14,0,30,201226,그렉노먼 여성 구스다운 롱 벤치코트,119000,20841000,1,의류,100377,0
1,1,14,30,30,201220,그렉노먼 남성 구스다운 롱 벤치코트,119000,40526000,1,의류,100377,0
1,1,14,30,30,201226,그렉노먼 여성 구스다운 롱 벤치코트,119000,47294000,1,의류,100377,0
1,1,15,0,20,201497,뽕셰프 이봉원 특갈비탕 12팩,60900,14113000,1,농수축,100496,0
1,1,15,20,20,201497,뽕셰프 이봉원 특갈비탕 12팩,60900,32395000,1,농수축,100496,0
1,1,15,40,20,201497,뽕셰프 이봉원 특갈비탕 12팩,60900,39669000,1,농수축,100496,0
1,1,16,0,20,201479,국내산 손질갑오징어 8팩,49900,60787000,1,농수축,100322,0
1,1,16,20,20,201479,국내산 손질갑오징어 8팩,49900,115457000,1,농수축,100322,0
1,1,16,40,20,202512,멋진밥상 흥양농협 햅쌀 20kg,61000,83893000,1,농수축,100849,0
1,1,17,0,20,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),39800,42239000,1,이미용,100074,0
1,1,17,20,20,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),39800,73494000,1,이미용,100074,0
1,1,17,40,20,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),39800,107103000,1,이미용,100074,0
1,1,18,0,20,201350,우리바다 손질왕꼬막 24팩,39900,59050000,1,농수축,100435,0
1,1,18,20,20,201350,우리바다 손질왕꼬막 24팩,39900,85937000,1,농수축,100435,0
1,1,18,40,20,201350,우리바다 손질왕꼬막 24팩,39900,101468000,1,농수축,100435,0
1,1,19,0,20,201892,푸마 에어핏 서포트 브라세트 15종+4종,119000,36620000,1,속옷,100607,0
1,1,19,20,20,201892,푸마 에어핏 서포트 브라세트 15종+4종,119000,69349000,1,속옷,100607,0
1,1,19,40,20,201892,푸마 에어핏 서포트 브라세트 15종+4종,119000,84610000,1,속옷,100607,0
1,1,20,0,20,200533, LG 통돌이 세탁기,439000,35519000,1,가전,100150,1
1,1,20,0,20,200465, LG 통돌이 세탁기,489000,19123000,1,가전,100150,2
1,1,20,20,20,200533, LG 통돌이 세탁기,439000,56859000,1,가전,100150,1
1,1,20,20,20,200465, LG 통돌이 세탁기,489000,58685000,1,가전,100150,2
1,1,20,40,20,200533, LG 통돌이 세탁기,439000,68320000,1,가전,100150,1
1,1,20,40,20,200465, LG 통돌이 세탁기,489000,46068000,1,가전,100150,2
1,1,21,0,20,202044,마리노블 밍크 롱코트,499000,16362000,1,의류,100049,0
1,1,21,20,20,202044,마리노블 밍크 롱코트,499000,53791000,1,의류,100049,0
1,1,21,40,20,202044,마리노블 밍크 롱코트,499000,84562000,1,의류,100049,0
1,1,22,0,30,200896,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,299000,38067000,1,의류,100271,0
1,1,22,30,30,200896,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,299000,77764000,1,의류,100271,0
1,1,23,0,20,202108,로베르타 디 까메리노 올레이스 지퍼브라팬티,89900,23075000,1,속옷,100718,0
1,1,23,20,20,202108,로베르타 디 까메리노 올레이스 지퍼브라팬티,89900,39452000,1,속옷,100718,0
1,1,23,40,20,202108,로베르타 디 까메리노 올레이스 지퍼브라팬티,89900,60010000,1,속옷,100718,0
1,1,24,0,20,201225,그렉노먼 남성 캐시터치 터틀넥 4종,69900,6082000,1,의류,100377,0
1,1,24,0,20,201231,그렉노먼 여성 캐시터치 터틀넥 4종,69900,6445000,1,의류,100377,0
1,1,24,20,20,201225,그렉노먼 남성 캐시터치 터틀넥 4종,69900,11985000,1,의류,100377,0
1,1,24,20,20,201231,그렉노먼 여성 캐시터치 터틀넥 4종,69900,8491000,1,의류,100377,0
1,1,24,40,20,201225,그렉노먼 남성 캐시터치 터틀넥 4종,69900,16461000,1,의류,100377,0
1,1,24,40,20,201231,그렉노먼 여성 캐시터치 터틀넥 4종,69900,10641000,1,의류,100377,0
1,1,25,0,20,200652,레이프릴 무빙 맥시풀커버 브라팬티,69900,9647000,1,속옷,100193,0
1,1,25,20,20,200652,레이프릴 무빙 맥시풀커버 브라팬티,69900,15516000,1,속옷,100193,0
1,1,25,40,17,200652,레이프릴 무빙 맥시풀커버 브라팬티,69900,18695000,1,속옷,100193,0
1,2,6,0,20,200800,벨라홈 논슬립 옷걸이 세트,29800,9605000,2,생활용품,100229,0
1,2,6,20,20,200800,벨라홈 논슬립 옷걸이 세트,29800,11265000,2,생활용품,100229,0
1,2,6,40,20,200800,벨라홈 논슬립 옷걸이 세트,29800,14371000,2,생활용품,100229,0
1,2,7,0,20,201002,(직매입) 종근당건강 아이클리어 루테인,69000,14944000,2,건강기능,100315,0
1,2,7,20,20,201002,(직매입) 종근당건강 아이클리어 루테인,69000,25881000,2,건강기능,100315,0
1,2,7,40,20,201002,(직매입) 종근당건강 아이클리어 루테인,69000,30126000,2,건강기능,100315,0
1,2,8,0,20,200974,오모떼 레이스 파운데이션 브라,59000,11314000,2,속옷,100305,0
1,2,8,20,20,200974,오모떼 레이스 파운데이션 브라,59000,21397000,2,속옷,100305,0
1,2,8,40,20,200974,오모떼 레이스 파운데이션 브라,59000,34822000,2,속옷,100305,0
1,2,9,0,20,201409,NNF 쿠션퍼자켓+베스트,39900,12607000,2,의류,100454,0
1,2,9,20,20,201409,NNF 쿠션퍼자켓+베스트,39900,23042000,2,의류,100454,0
1,2,9,40,20,201409,NNF 쿠션퍼자켓+베스트,39900,38449000,2,의류,100454,0
1,2,10,0,20,202098, 쿠첸 풀스텐 압력밥솥 10인용 (A1),158000,7239000,2,주방,100448,1
1,2,10,0,20,202093, 쿠첸 풀스텐 압력밥솥 10인용(A1),168000,8951000,2,주방,100448,2
1,2,10,0,20,202100, 쿠첸 풀스텐 압력밥솥 6인용(A1),148000,2118000,2,주방,100448,1
1,2,10,0,20,202095, 쿠첸 풀스텐 압력밥솥 6인용(A1),158000,2262000,2,주방,100448,2
1,2,10,20,20,202098, 쿠첸 풀스텐 압력밥솥 10인용 (A1),158000,27223000,2,주방,100448,1
1,2,10,20,20,202093, 쿠첸 풀스텐 압력밥솥 10인용(A1),168000,13074000,2,주방,100448,2
1,2,10,20,20,202100, 쿠첸 풀스텐 압력밥솥 6인용(A1),148000,9408000,2,주방,100448,1
1,2,10,20,20,202095, 쿠첸 풀스텐 압력밥솥 6인용(A1),158000,4507000,2,주방,100448,2
1,2,10,40,20,202098, 쿠첸 풀스텐 압력밥솥 10인용 (A1),158000,44478000,2,주방,100448,1
1,2,10,40,20,202093, 쿠첸 풀스텐 압력밥솥 10인용(A1),168000,18925000,2,주방,100448,2
1,2,10,40,20,202100, 쿠첸 풀스텐 압력밥솥 6인용(A1),148000,13024000,2,주방,100448,1
1,2,10,40,20,202095, 쿠첸 풀스텐 압력밥솥 6인용(A1),158000,3368000,2,주방,100448,2
1,2,11,0,30,200896,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,299000,29763000,2,의류,100271,0
1,2,11,30,30,200896,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,299000,66392000,2,의류,100271,0
1,2,12,0,20,202230, 린나이 간편쿡 자동불꽃조절 가스레인지 3구,238000,10107000,2,주방,100765,2
1,2,12,0,20,202238, 린나이 간편쿡 자동불꽃조절 가스레인지 3구,228000,2270000,2,주방,100765,1
1,2,12,0,20,202229, 린나이 간편쿡 자동불꽃조절 가스레인지 2구,218000,1469000,2,주방,100765,2
1,2,12,0,20,202237, 린나이 간편쿡 자동불꽃조절 가스레인지 2구,208000,2757000,2,주방,100765,1
1,2,12,20,20,202230, 린나이 간편쿡 자동불꽃조절 가스레인지 3구,238000,17801000,2,주방,100765,2
1,2,12,20,20,202238, 린나이 간편쿡 자동불꽃조절 가스레인지 3구,228000,17732000,2,주방,100765,1
1,2,12,20,20,202229, 린나이 간편쿡 자동불꽃조절 가스레인지 2구,218000,10627000,2,주방,100765,2
1,2,12,20,20,202237, 린나이 간편쿡 자동불꽃조절 가스레인지 2구,208000,4731000,2,주방,100765,1
1,2,12,40,20,202230, 린나이 간편쿡 자동불꽃조절 가스레인지 3구,238000,25462000,2,주방,100765,2
1,2,12,40,20,202238, 린나이 간편쿡 자동불꽃조절 가스레인지 3구,228000,21428000,2,주방,100765,1
1,2,12,40,20,202229, 린나이 간편쿡 자동불꽃조절 가스레인지 2구,218000,6384000,2,주방,100765,2
1,2,12,40,20,202237, 린나이 간편쿡 자동불꽃조절 가스레인지 2구,208000,4095000,2,주방,100765,1
1,2,13,0,20,202491,하늘내린 용대리황태10미,32900,29599000,2,농수축,100844,0
1,2,13,20,20,202491,하늘내린 용대리황태10미,32900,40882000,2,농수축,100844,0
1,2,13,40,20,202491,하늘내린 용대리황태10미,32900,42466000,2,농수축,100844,0
1,2,14,0,30,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,109000,28456000,2,속옷,100305,0
1,2,14,30,30,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,109000,56800000,2,속옷,100305,0
1,2,15,0,20,200864,안동간고등어 20팩,30900,41722000,2,농수축,100253,0
1,2,15,20,20,200864,안동간고등어 20팩,30900,43167000,2,농수축,100253,0
1,2,15,40,20,200864,안동간고등어 20팩,30900,70322000,2,농수축,100253,0
1,2,16,0,20,202113,"SPC삼립 한입 호빵 13봉(혼합, 팥8+야채5봉)",30900,11931000,2,농수축,100722,0
1,2,16,0,20,202112,"SPC삼립 한입 호빵 13봉(단일, 팥 13봉)",30900,6694000,2,농수축,100722,0
1,2,16,20,20,202113,"SPC삼립 한입 호빵 13봉(혼합, 팥8+야채5봉)",30900,16983000,2,농수축,100722,0
1,2,16,20,20,202112,"SPC삼립 한입 호빵 13봉(단일, 팥 13봉)",30900,9744000,2,농수축,100722,0
1,2,16,40,20,202113,"SPC삼립 한입 호빵 13봉(혼합, 팥8+야채5봉)",30900,18931000,2,농수축,100722,0
1,2,16,40,20,202112,"SPC삼립 한입 호빵 13봉(단일, 팥 13봉)",30900,11181000,2,농수축,100722,0
1,2,17,0,20,202365,바다먹자 국내산 손질꽃게 7팩,59900,30903000,2,농수축,100801,0
1,2,17,20,20,202365,바다먹자 국내산 손질꽃게 7팩,59900,50056000,2,농수축,100801,0
1,2,17,40,20,202365,바다먹자 국내산 손질꽃게 7팩,59900,49237000,2,농수축,100801,0
1,2,18,0,20,200819,키친플라워 대용량 디지털 에어프라이어 5L,89800,22422000,2,주방,100231,0
1,2,18,20,20,200819,키친플라워 대용량 디지털 에어프라이어 5L,89800,33817000,2,주방,100231,0
1,2,18,40,20,200819,키친플라워 대용량 디지털 에어프라이어 5L,89800,44814000,2,주방,100231,0
1,2,19,0,20,201483,피시원 국내산 손질 대구 8팩 * 매운탕 양념 8팩,59900,25985000,2,농수축,100491,0
1,2,19,20,20,201483,피시원 국내산 손질 대구 8팩 * 매운탕 양념 8팩,59900,36647000,2,농수축,100491,0
1,2,19,40,20,201483,피시원 국내산 손질 대구 8팩 * 매운탕 양념 8팩,59900,65853000,2,농수축,100491,0
1,2,20,0,20,201901,푸마 코튼 라이크라 드로즈 12종,89000,18424000,2,속옷,100610,0
1,2,20,0,20,201862,푸마 INNO 심리스 롱드로즈 7종,89000,422000,2,속옷,100610,0
1,2,20,0,20,201880,푸마 드라이셀라인 뉴 런닝 9종,89000,1506000,2,속옷,100610,0
1,2,20,20,20,201901,푸마 코튼 라이크라 드로즈 12종,89000,41096000,2,속옷,100610,0
1,2,20,20,20,201862,푸마 INNO 심리스 롱드로즈 7종,89000,2575000,2,속옷,100610,0
1,2,20,20,20,201880,푸마 드라이셀라인 뉴 런닝 9종,89000,3660000,2,속옷,100610,0
1,2,20,40,20,201901,푸마 코튼 라이크라 드로즈 12종,89000,52885000,2,속옷,100610,0
1,2,20,40,20,201862,푸마 INNO 심리스 롱드로즈 7종,89000,3029000,2,속옷,100610,0
1,2,20,40,20,201880,푸마 드라이셀라인 뉴 런닝 9종,89000,4155000,2,속옷,100610,0
1,2,21,0,20,200554, LG전자 매직스페이스 냉장고,1409000,14485000,2,가전,100155,1
1,2,21,0,20,200487, LG전자 매직스페이스 냉장고,1549000,11986000,2,가전,100155,2
1,2,21,20,20,200554, LG전자 매직스페이스 냉장고,1409000,25312000,2,가전,100155,1
1,2,21,20,20,200487, LG전자 매직스페이스 냉장고,1549000,11960000,2,가전,100155,2
1,2,21,40,20,200554, LG전자 매직스페이스 냉장고,1409000,21729000,2,가전,100155,1
1,2,21,40,20,200487, LG전자 매직스페이스 냉장고,1549000,23895000,2,가전,100155,2
1,2,22,0,20,200499, LG 울트라HD TV 55UK6800HNC,1300000,3177000,2,가전,100148,1
1,2,22,0,20,200432, LG 울트라HD TV 55UK6800HNC,1440000,50000,2,가전,100148,2
1,2,22,0,20,200508, LG 울트라HD TV 65UK6800HNC,1900000,13796000,2,가전,100148,1
1,2,22,0,20,200441, LG 울트라HD TV 65UK6800HNC,2130000,10329000,2,가전,100148,2
1,2,22,0,20,200518, LG 울트라HD TV 70UK7400KNA,2700000,50000,2,가전,100148,1
1,2,22,0,20,200451, LG 울트라HD TV 70UK7400KNA,2990000,50000,2,가전,100148,2
1,2,22,20,20,200499, LG 울트라HD TV 55UK6800HNC,1300000,3177000,2,가전,100148,1
1,2,22,20,20,200432, LG 울트라HD TV 55UK6800HNC,1440000,3541000,2,가전,100148,2
1,2,22,20,20,200508, LG 울트라HD TV 65UK6800HNC,1900000,32123000,2,가전,100148,1
1,2,22,20,20,200441, LG 울트라HD TV 65UK6800HNC,2130000,5189000,2,가전,100148,2
1,2,22,20,20,200518, LG 울트라HD TV 70UK7400KNA,2700000,50000,2,가전,100148,1
1,2,22,20,20,200451, LG 울트라HD TV 70UK7400KNA,2990000,50000,2,가전,100148,2
