max_temp_scaled,weekly,items,daily,month_category_mean_sales_AMT,price,weekofyear,mcode,accumulated_exposure_time,sim_salesAMT_new,rain_per_hour,time_hour,salesAMT
19.52555657,-0.06717408,2,-0.467612803,22871352.15,39900,1,100346,20,11046600,0,6,2099000
19.52555657,-0.06717408,2,-0.467612803,22871352.15,39900,1,100346,20,5968600,0,6,4371000
19.52555657,-0.06717408,2,-0.467612803,22871352.15,39900,1,100346,40,11046600,0,6,3262000
19.52555657,-0.06717408,2,-0.467612803,22871352.15,39900,1,100346,40,5968600,0,6,6955000
19.52555657,-0.06717408,2,-0.467612803,22871352.15,39900,1,100346,60,11046600,0,6,6672000
19.52555657,-0.06717408,2,-0.467612803,22871352.15,39900,1,100346,60,5968600,0,6,9337000
19.52555657,-0.100313128,1,-0.137797745,27110094.63,59000,1,100305,20,14274916.67,0,7,6819000
19.52555657,-0.100313128,1,-0.137797745,27110094.63,59000,1,100305,40,14274916.67,0,7,15689000
19.52555657,-0.100313128,1,-0.137797745,27110094.63,59000,1,100305,60,14274916.67,0,7,25370000
19.52555657,-0.06717408,1,0.096874234,22871352.15,59900,1,100808,20,33476777.78,0,8,16133000
19.52555657,-0.06717408,1,0.096874234,22871352.15,59900,1,100808,40,33476777.78,0,8,30061000
19.52555657,-0.06717408,1,0.096874234,22871352.15,59900,1,100808,60,33476777.78,0,8,53542000
19.52555657,-0.06717408,1,0.251596545,22871352.15,79000,1,100816,20,19446222.22,0,9,16075000
19.52555657,-0.06717408,1,0.251596545,22871352.15,79000,1,100816,40,19446222.22,0,9,25628000
19.52555657,-0.06717408,1,0.251596545,22871352.15,79000,1,100816,60,19446222.22,0,9,49270000
19.52555657,-0.06717408,1,0.211781816,22871352.15,79900,1,100809,20,37338000,0,10,48799000
19.52555657,-0.06717408,1,0.211781816,22871352.15,79900,1,100809,40,37338000,0,10,97907000
19.52555657,-0.06717408,1,0.211781816,22871352.15,79900,1,100809,60,37338000,0,10,112972000
19.52555657,-0.100313128,1,0.310867658,27110094.63,69900,1,100664,20,24841000,0,11,24531000
19.52555657,-0.100313128,1,0.310867658,27110094.63,69900,1,100664,40,24841000,0,11,49829000
19.52555657,-0.090415159,1,0.137310171,17091819.78,60900,1,100088,20,31927133.33,0,12,33823000
19.52555657,-0.090415159,1,0.137310171,17091819.78,60900,1,100088,40,31927133.33,0,12,59083000
19.52555657,-0.090415159,1,0.137310171,17091819.78,60900,1,100088,60,31927133.33,0,12,99235000
19.52555657,-0.100313128,1,0.162157238,27110094.63,109000,1,100305,30,24437000,0,13,32273000
19.52555657,-0.100313128,1,0.162157238,27110094.63,109000,1,100305,60,24437000,0,13,79273000
19.52555657,-0.06717408,2,0.229746207,22871352.15,119000,1,100377,30,34067500,0,14,11269000
19.52555657,-0.06717408,2,0.229746207,22871352.15,119000,1,100377,30,25897500,0,14,20841000
19.52555657,-0.06717408,2,0.229746207,22871352.15,119000,1,100377,60,34067500,0,14,40526000
19.52555657,-0.06717408,2,0.229746207,22871352.15,119000,1,100377,60,25897500,0,14,47294000
19.52555657,-0.068335996,1,0.153863859,44839034.93,60900,1,100496,20,21458000,0,15,14113000
19.52555657,-0.068335996,1,0.153863859,44839034.93,60900,1,100496,40,21458000,0,15,32395000
19.52555657,-0.068335996,1,0.153863859,44839034.93,60900,1,100496,60,21458000,0,15,39669000
19.52555657,-0.068335996,1,0.319832723,44839034.93,49900,1,100322,20,44763076.92,0,16,60787000
19.52555657,-0.068335996,1,0.319832723,44839034.93,49900,1,100322,40,44763076.92,0,16,115457000
19.52555657,-0.068335996,1,0.319832723,44839034.93,61000,1,100849,20,45227941.52,0,16,83893000
19.52555657,-0.079733334,1,0.145647764,37167849.46,39800,1,100074,20,57121828.95,0,17,42239000
19.52555657,-0.079733334,1,0.145647764,37167849.46,39800,1,100074,40,57121828.95,0,17,73494000
19.52555657,-0.079733334,1,0.145647764,37167849.46,39800,1,100074,60,57121828.95,0,17,107103000
19.52555657,-0.068335996,1,0.387050417,44839034.93,39900,1,100435,20,33518000,0,18,59050000
19.52555657,-0.068335996,1,0.387050417,44839034.93,39900,1,100435,40,33518000,0,18,85937000
19.52555657,-0.068335996,1,0.387050417,44839034.93,39900,1,100435,60,33518000,0,18,101468000
19.52555657,-0.100313128,1,0.12774552,27110094.63,119000,1,100607,20,11229777.78,0,19,36620000
